,FIA001,FIA1,FIA10,FIA100,FIB1,FIB10,FIB100,FIC01,FIC1,FIC100,FIIA001,FIIA01,FIIA1,FIIA100,FIIB1,FIIB10,FIIB100,FIIC01,FIIC1,FIIC10,FIIC100,FIIIA001,FIIIA01,FIIIA1,FIIIA100,FIIIB1,FIIIB10,FIIIB100,FIIIC01,FIIIC1,FIIIC10,SC93A01,SC93A10,SC93A20,SC93B1,SC93B40,SC93C01,SC93C1,SC93C10,SC93C50,SC98A001,SC98A01,SC98A1,SC98A10,SC98A100,SC98B1,SC98B10,SC98B100,SC98C01,SC98C1,SC98C10,SC98C100,SCIA1,SCIA10,SCIA100,SCIB1,SCIB10,SCIB100,SCIC1,SCIC100,P72IA001,P72IA01,P72IA1,P72IA10,P72IA100,P72IB1,P72IB10,P72IB100,P72IC01,P72IC1,P72IC10,P72IC100,P72IIA001,P72IIA01,P72IIA1,P72IIB10,P72IIB100,P72IIC01,P72IIC10,P72IIC100,P72IIIA01,P72IIIA1,P72IIIA10,P72IIIA100,P72IIIB1,P72IIIB100,P72IIIC01,P72IIIC1,P72IIIC10,P72IIIC100
FIIC10_ASG4Z,99,61,21,7,89,82,88,73,29,52,116,98,17,201,87,47,126,56,56,141,13,23,4,10,15,19,76,0,43,20,14,3,4,2,8,1,6,3,24,18,11,12,71,9,93,6,4,21,23,12,3,5,29,44,1,49,30,7,13,17,1,2,0,3,3,0,1,0,1,4,2,2,2,2,3,2,5,0,6,0,1,2,9,5,7,2,5,2,6,2
SC98C10_IPJ0G,1,2,0,0,0,0,0,2,1,0,0,2,0,0,1,1,3,4,1,2,4,0,1,1,0,3,2,0,2,0,2,0,0,0,0,0,0,0,1,1,4,2,3,2,0,0,0,1,0,2,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,4,0,0
FIIIA100_GBO0L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P72IIB10_EUI0G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,2,0,0,0,0,2,0,0,0,1,0,5,0,1,1,0,2,0,0,1,4,3,3,5,1,1,2,5,0,0,0,1,1,5,1,2,3,1,1,3,0,0,0,0,0,0,0,0,0,0
SC98C1_J0X8N,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,3,1,0,2,0,0,2,0,0,3,1,1,0,0,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCIC1_FO7YN,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,1,0,0,0,5,0,0,1,0,0,1,0,1,0,0,6,1,2,0,2,0,0,0,0,2,2,0,1,1,0,1,0,1,0,1,0,3,0,0,1,0,0
P72IA1_FYZ1U,9,2,2,3,5,2,2,1,1,13,1,0,2,0,2,2,0,0,0,0,0,0,9,4,0,6,0,0,13,11,4,0,0,6,1,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,5,2,3,6,0,7,5,1,2,6,4,2,5,8,5,0,9,2,1,4,0,0,4,0,3,0,0,1,0,0
FIA1_BFT4T,30,54,26,39,60,31,31,30,23,16,3,8,46,10,13,38,2,8,2,3,4,3,3,14,25,4,8,0,3,6,7,6,10,8,4,15,0,8,21,5,3,0,0,3,17,1,1,16,3,0,0,11,8,1,31,14,13,2,6,1,9,18,6,29,11,13,7,11,13,16,8,7,39,33,21,18,28,22,52,6,25,18,14,8,26,7,26,36,22,4
SC93A10_EWJ0B,6,1,0,0,3,0,0,4,19,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,3,1,0,6,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,11,4,18,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0
P72IIIB10_HNSNX,10,5,4,55,6,6,6,5,30,2,2,4,71,0,7,1,1,0,2,4,2,6,0,14,24,0,10,0,1,0,4,64,7,41,12,0,78,71,3,20,7,1,5,3,0,0,0,33,0,0,1,0,2,6,1,0,1,0,5,7,61,71,77,93,118,109,157,115,106,204,74,159,186,158,159,214,50,50,118,109,166,277,137,76,55,13,57,167,93,84
FIIA100_F9V1T,83,66,19,32,23,26,26,87,21,38,46,12,1,83,15,20,71,12,25,23,150,0,6,44,18,17,1,0,4,48,16,73,85,111,76,85,32,89,34,245,4,0,1,0,2,0,0,51,0,1,1,8,101,60,26,90,181,25,60,52,1,1,0,0,0,1,0,2,1,4,0,5,1,3,0,6,3,3,0,1,0,0,0,0,0,0,0,0,0,0
FIIB10_BS7NL,0,0,0,0,0,0,0,2,0,2,4,3,0,0,0,3,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,2,1,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
P72IA10_DJKG5,3,3,48,4,7,9,9,9,1,30,30,20,4,2,17,0,1,9,14,11,0,4,1,1,2,0,18,0,3,2,2,0,2,2,4,0,0,2,0,8,1,2,1,55,18,0,9,29,0,0,0,0,13,2,2,10,0,0,126,0,9,41,5,41,9,12,63,4,55,62,38,33,7,7,11,9,50,3,12,13,8,11,1,1,0,3,8,0,10,0
FIIB100_FXDKV,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC93C1_D4GBV,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,5,0,3,7,0,0,2,0,1,1,0,0,0,1,0,0,0,0,3,2,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2,0,1,5
P72IB1_INMQQ,4,1,0,5,0,0,0,0,0,0,0,0,14,0,1,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,8,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,5,13,3,30,3,28,11,7,2,9,11,12,39,30,14,3,36,2,101,26,13,86,11,2,91,0,35,34,3,0
P72IIC10_C61FL,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
FIIA001_FOSVP,0,0,0,0,0,0,0,0,3,0,38,15,4,20,44,2,5,6,72,29,19,4,20,0,3,5,34,0,3,4,3,0,0,0,0,0,0,0,0,0,5,17,8,3,0,6,0,0,5,6,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P72IA01_RH36,0,2,0,2,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,42,47,60,4,12,10,12,15,29,14,8,10,51,7,4,7,2,15,0,0,0,0,0,1,0,0,0,0,0,0
SC98C10_II6YS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,2,0,0,0,3,7,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,3,1,0,0,0,0,0,0,0,0,0,0
P72IIIA10_EMKAV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,2,2,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,3,0,1,0,1,0,0,0
P72IIA1_EXEIZ,1,1,3,5,5,2,2,2,1,7,2,2,1,1,4,29,11,3,2,1,17,18,1,0,3,9,6,0,3,3,3,0,1,3,0,13,0,1,1,0,1,7,1,3,3,0,1,0,2,0,0,0,4,4,0,10,2,0,3,3,2,3,3,3,2,2,0,2,1,4,7,3,5,6,4,1,0,2,0,0,0,1,0,0,1,1,1,2,0,0
P72IB1_IAL5Q,1,0,4,15,2,7,7,2,3,1,8,5,39,0,7,0,2,0,0,0,0,6,1,8,7,0,14,0,0,0,0,27,19,59,9,7,27,26,1,48,2,2,0,0,1,0,2,6,0,0,0,0,1,0,0,0,1,0,5,2,39,37,60,69,52,123,98,93,78,128,53,82,97,79,101,112,20,53,94,83,37,75,6,9,8,0,12,41,10,4
FIIC01_JJOIU,0,0,0,0,0,0,0,0,0,0,10,4,0,0,0,6,0,14,1,0,2,1,0,0,0,0,12,0,1,0,3,1,0,0,0,0,0,0,3,0,1,7,0,0,0,0,0,0,1,0,0,0,6,2,0,1,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIIA100_FSBXL,0,0,0,0,0,2,2,0,0,0,7,0,0,7,3,1,1,2,3,0,1,3,17,7,0,4,3,0,11,4,6,0,0,1,0,1,0,0,0,0,1,0,2,8,0,0,0,0,2,1,0,1,0,3,23,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SCIA10_GE9A2,0,2,0,0,0,0,0,1,0,1,0,1,2,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,4,0,0,0,1,0,1,1,0,1,0,3,1,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P72IC1_GFHBH,1,0,0,7,0,0,0,7,0,0,0,0,0,2,0,44,0,0,0,0,1,1,0,0,1,1,0,0,4,0,1,0,0,5,0,12,0,1,0,0,1,3,3,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
