,FIA001,FIA1,FIA10,FIA100,FIB1,FIB10,FIB100,FIC01,FIC1,FIC100,FIIA001,FIIA01,FIIA1,FIIA100,FIIB1,FIIB10,FIIB100,FIIC01,FIIC1,FIIC10,FIIC100,FIIIA001,FIIIA01,FIIIA1,FIIIA100,FIIIB1,FIIIB10,FIIIB100,FIIIC01,FIIIC1,FIIIC10,SC93A01,SC93A10,SC93A20,SC93B1,SC93B40,SC93C01,SC93C1,SC93C10,SC93C50,SC98A001,SC98A01,SC98A1,SC98A10,SC98A100,SC98B1,SC98B10,SC98B100,SC98C01,SC98C1,SC98C10,SC98C100,SCIA1,SCIA10,SCIA100,SCIB1,SCIB10,SCIB100,SCIC1,SCIC100,P72IA001,P72IA01,P72IA1,P72IA10,P72IA100,P72IB1,P72IB10,P72IB100,P72IC01,P72IC1,P72IC10,P72IC100,P72IIA001,P72IIA01,P72IIA1,P72IIB10,P72IIB100,P72IIC01,P72IIC10,P72IIC100,P72IIIA01,P72IIIA1,P72IIIA10,P72IIIA100,P72IIIB1,P72IIIB100,P72IIIC01,P72IIIC1,P72IIIC10,P72IIIC100
SC98B10_FOU28,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P72IIA01_DI1YS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIIIA100_F2YBS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P72IA1_FOGV5,5,10,1,33,4,7,93,15,17,0,13,17,17,1,7,33,25,32,0,9,0,3,0,2,15,0,2,0,0,1,4,6,10,0,25,1,4,9,1,10,1,9,0,0,0,0,1,22,2,1,0,2,3,15,0,130,1,106,40,12,26,47,48,20,11,14,34,50,59,28,23,13,25,17,20,35,21,11,14,13,36,29,40,16,24,20,38,44,45,90
SC93B1_D6J23,0,0,0,0,1,0,0,0,1,1,1,0,3,0,0,0,2,5,1,3,0,0,0,0,0,0,0,0,0,0,0,1,3,1,7,0,0,3,3,0,1,0,0,2,0,0,0,0,0,0,0,1,2,3,4,0,1,1,0,0,1,0,5,2,0,1,0,0,4,0,1,3,2,3,11,3,0,1,0,0,3,0,0,0,0,0,0,1,5,0
P72IIIC100_H0NSJ,1,6,3,10,3,1,2,7,0,4,4,4,0,0,1,0,0,10,0,10,1,0,0,0,2,0,2,0,0,0,0,20,4,1,11,4,26,12,2,3,1,1,0,8,2,0,2,8,0,3,4,0,8,12,0,15,3,13,6,14,8,2,8,4,14,0,0,10,10,1,15,10,7,5,14,5,16,7,2,7,49,0,8,43,12,89,23,0,14,77
P72IIIB100_ELIIB,5,1,2,3,3,7,0,11,3,6,2,4,7,1,3,4,1,0,1,1,3,0,1,2,3,1,3,1,3,2,2,1,4,7,3,3,4,3,1,1,1,5,1,2,0,2,0,2,2,0,2,3,3,2,3,0,0,17,3,5,1,4,0,8,6,1,4,0,2,1,2,8,5,5,0,2,1,6,2,8,1,1,6,7,1,26,3,1,1,1
P72IIIC100_IA2NJ,9,11,7,15,14,15,7,27,15,10,19,13,10,0,3,6,17,47,0,19,7,2,0,3,2,1,4,0,0,0,0,24,48,54,27,16,24,36,14,8,1,4,1,8,6,2,0,25,0,0,3,7,69,26,86,31,107,108,18,23,30,9,22,4,30,11,2,18,12,3,15,16,16,9,16,2,46,18,19,18,14,3,12,27,21,125,21,4,14,56
P72IIIC10_GEY0S,15,13,17,23,28,8,28,14,17,25,4,2,12,0,0,2,13,4,1,9,3,6,0,0,2,0,10,0,0,0,1,71,11,4,39,0,102,51,1,13,1,3,0,0,4,0,0,45,0,1,0,1,5,64,3,60,9,45,17,16,40,4,40,29,19,18,0,50,3,4,42,37,19,19,59,0,29,3,17,37,21,6,13,6,25,36,20,20,16,46
P72IB1_IFVH6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
P72IA001_FUYPZ,0,98,7,68,31,9,58,27,0,16,0,1,0,0,2,1,2,0,0,3,2,1,0,9,15,0,8,0,0,1,0,112,3,7,15,6,87,62,0,0,1,0,3,1,0,0,0,9,0,0,0,2,11,6,2,36,4,0,8,10,152,59,308,184,246,215,35,282,69,22,131,148,55,65,131,15,269,13,144,199,75,2,6,287,198,140,197,37,92,116
SC98A01_HJTJZ,0,0,0,0,0,0,0,1,0,2,2,4,1,0,0,0,4,24,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,24,0,0,4,0,0,5,0,0,0,0,1,8,0,3,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
SC93A20_JDDRE,9,20,8,2,7,7,5,6,4,9,3,2,3,2,3,4,8,0,4,1,8,6,2,22,3,12,2,0,13,14,0,7,2,9,3,1,3,8,1,9,0,3,0,2,0,0,1,24,0,2,0,13,22,30,3,19,36,0,12,15,4,0,2,9,0,2,2,0,0,1,2,0,0,1,0,1,0,1,3,1,0,1,6,0,1,0,2,0,2,0
SC98C01_EE1LN,4,0,0,0,0,6,1,1,0,0,31,6,1,1,8,3,0,4,10,1,1,0,0,0,0,0,10,0,0,2,1,0,0,0,0,0,0,0,0,0,0,4,2,1,1,1,0,0,2,0,2,0,0,2,0,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC93A10_ER65W,1,1,4,2,1,1,3,1,2,0,3,2,0,1,0,2,8,11,0,12,0,0,0,0,3,0,0,0,0,0,0,1,13,5,9,0,2,0,0,4,0,2,1,0,20,1,0,5,0,0,0,0,1,2,9,0,1,35,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SCIA10_FT5UU,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,1,3,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,2,0,0,0
SC98A01_HNF81,1,0,1,1,0,0,0,0,0,0,4,0,0,0,3,2,1,0,1,4,0,1,1,0,0,0,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
